C;epsilon;gamma;sv_count;MAE;omega;;;;;C;epsilon;gamma;sv_count;MAE;omega
10;0,07;0,1;157;0,149124674;0,5;;;;;;;;;;
10;0,07;0,7;115;0,029068283;0,5;;;;;;;;;;
10;0,07;1;112;0,027591425;0,5;;;;;;;;;;
10;0,07;1,5;114;0,030798687;0,5;;;;;;;;;;
10;0,07;3;117;0,031363766;0,5;;;;;;;;;;
10;0,07;10;120;0,037568868;0,5;;;;;;;;;;
10;0,106;0,1;125;0,148985306;0,5;;;;;;;;;;
10;0,106;0,7;62;0,024059628;0,5;;;;;;;;;;
10;0,106;1;62;0,026091511;0,5;;;;;;;;;;
10;0,106;1,5;59;0,027541956;0,5;;;;;;;;;;
10;0,106;3;62;0,034437153;0,5;;;;;;;;;;
10;0,106;10;72;0,043863507;0,5;;;;;;;;;;
10;0,142;0,1;102;0,151259806;0,5;;;;;;;;;;
10;0,142;0,7;33;0,025100143;0,5;;;;;;;;;;
10;0,142;1;35;0,029426716;0,5;;;;;;;;;;
10;0,142;1,5;37;0,029934055;0,5;;;;;;;;;;
10;0,142;3;38;0,038376644;0,5;;;;;;;;;;
10;0,142;10;36;0,040223706;0,5;;;;;;;;;;
10;0,178;0,1;84;0,155698437;0,5;;;;;;;;;;
10;0,178;0,7;19;0,035558252;0,5;;;;;;;;;;
10;0,178;1;17;0,035446267;0,5;;;;;;;;;;
10;0,178;1,5;19;0,037929577;0,5;;;;;;;;;;
10;0,178;3;21;0,042107704;0,5;;;;;;;;;;
10;0,178;10;25;0,050670447;0,5;;;;;;;;;;
10;0,214;0,1;69;0,160490838;0,5;;;;;;;;;;
10;0,214;0,7;12;0,061938601;0,5;;;;;;;;;;
10;0,214;1;12;0,059514293;0,5;;;;;;;;;;
10;0,214;1,5;9;0,062451585;0,5;;;;;;;;;;
10;0,214;3;10;0,057144726;0,5;;;;;;;;;;
10;0,214;10;17;0,0730716;0,5;;;;;;;;;;
10;0,25;0,1;55;0,15954766;0,5;;;;;;;;;;
10;0,25;0,7;8;0,074316093;0,5;;;;;;;;;;
10;0,25;1;8;0,076400108;0,5;;;;;;;;;;
10;0,25;1,5;6;0,076692411;0,5;;;;;;;;;;
10;0,25;3;10;0,076790276;0,5;;;;;;;;;;
10;0,25;10;16;0,096626929;0,5;;;;;;;;;;
